,,(0-1-2),(0-1-3),(0-1-4),(0-2-3),(0-2-4),(0-3-4),(1-2-3),(1-2-4),(1-3-4),(2-3-4),r1,r2,r3,r4,VOID,(times)
0,C_Sample,null,null,null,null,null,null,1,4,3,2,1,1,1,1,0
1,Cpp_Sample,null,null,null,3,1,1,null,null,null,3,2,0,2,0,0
2,Java_Sample,null,2,3,null,null,1,null,null,2,null,1,2,1,0,0
3,Python_Sample,4,null,2,null,4,null,null,1,null,null,1,1,0,2,0
4,Sample_Random,2,4,null,3,null,null,4,null,null,null,0,1,1,2,0
